"","fips","simyear","stover_removal","stover_dryyield_kgha"
"203",17007,2021,"G50S",5010.19767441861
"204",17007,2021,"G75S",7516.15372093023
"205",17007,2023,"G",0
"206",17007,2023,"G25S",3114.93302325581
"207",17007,2023,"G50S",6206.60488372093
"208",17007,2023,"G75S",9270.85
"209",17007,2025,"G",0
"210",17007,2025,"G25S",3167.84372093023
"211",17007,2025,"G50S",6334.49139534884
"212",17007,2025,"G75S",9502.33511627907
"213",17007,2027,"G",0
"214",17007,2027,"G25S",3362.04372093023
"215",17007,2027,"G50S",6722.89139534884
"216",17007,2027,"G75S",10083.7390697674
"217",17007,2029,"G",0
"218",17007,2029,"G25S",2969.41906976744
"219",17007,2029,"G50S",5939.18976744186
"220",17007,2029,"G75S",8908.24953488372
"221",17007,2031,"G",0
"222",17007,2031,"G25S",3329.97395348837
"223",17007,2031,"G50S",6661.85488372093
"224",17007,2031,"G75S",9992.53976744186
"225",17007,2033,"G",0
"226",17007,2033,"G25S",4042.60093023256
"227",17007,2033,"G50S",8086.3311627907
"228",17007,2033,"G75S",12131.6090697674
"229",17007,2035,"G",0
"230",17007,2035,"G25S",2787.07930232558
"231",17007,2035,"G50S",5575.05441860465
"232",17007,2035,"G75S",8366.61
"233",17007,2037,"G",0
"234",17007,2037,"G25S",3528.33953488372
"235",17007,2037,"G50S",7056.6123255814
"236",17007,2037,"G75S",10586.4995348837
"237",17007,2039,"G",0
"238",17007,2039,"G25S",3880.94046511628
"239",17007,2039,"G50S",7757.9411627907
"240",17007,2039,"G75S",11622.6374418605
"241",17009,2011,"G",0
"242",17009,2011,"G25S",2910.06069767442
"243",17009,2011,"G50S",5818.37093023256
"244",17009,2011,"G75S",8728.43162790698
"245",17009,2013,"G",0
"246",17009,2013,"G25S",2429.70209302326
"247",17009,2013,"G50S",4857.41302325581
"248",17009,2013,"G75S",7287.06837209302
"249",17009,2015,"G",0
"250",17009,2015,"G25S",3204.37744186047
"251",17009,2015,"G50S",6408.42069767442
"252",17009,2015,"G75S",9610.76023255814
"253",17009,2017,"G",0
"254",17009,2017,"G25S",2563.91093023256
"255",17009,2017,"G50S",5125.59
"256",17009,2017,"G75S",7689.6411627907
"257",17009,2019,"G",0
"258",17009,2019,"G25S",2810.58488372093
"259",17009,2019,"G50S",5619.17860465116
"260",17009,2019,"G75S",8430.0976744186
"261",17009,2021,"G",0
"262",17009,2021,"G25S",2767.3123255814
"263",17009,2021,"G50S",5534.43069767442
"264",17009,2021,"G75S",8302.12395348837
"265",17009,2023,"G",0
"266",17009,2023,"G25S",3475.12046511628
"267",17009,2023,"G50S",6947.96232558139
"268",17009,2023,"G75S",10414.1623255814
"269",17009,2025,"G",0
"270",17009,2025,"G25S",3599.49976744186
"271",17009,2025,"G50S",7196.7676744186
"272",17009,2025,"G75S",10792.0444186047
"273",17009,2027,"G",0
"274",17009,2027,"G25S",2896.57604651163
"275",17009,2027,"G50S",5790.87348837209
"276",17009,2027,"G75S",8687.44953488372
"277",17009,2029,"G",0
"278",17009,2029,"G25S",2785.48046511628
"279",17009,2029,"G50S",5571.24837209302
"280",17009,2029,"G75S",8356.7288372093
"281",17009,2031,"G",0
"282",17009,2031,"G25S",3339.82255813953
"283",17009,2031,"G50S",6681.68302325581
"284",17009,2031,"G75S",10021.6458139535
"285",17009,2033,"G",0
"286",17009,2033,"G25S",4200.28813953488
"287",17009,2033,"G50S",8402.94837209302
"288",17009,2033,"G75S",12603.4702325581
"289",17009,2035,"G",0
"290",17009,2035,"G25S",2867.42162790698
"291",17009,2035,"G50S",5733.13953488372
"292",17009,2035,"G75S",8600.60790697674
"293",17009,2037,"G",0
"294",17009,2037,"G25S",3381.57837209302
"295",17009,2037,"G50S",6761.21232558139
"296",17009,2037,"G75S",10143.3586046512
"297",17009,2039,"G",0
"298",17009,2039,"G25S",4541.9811627907
"299",17009,2039,"G50S",9066.12139534884
"300",17009,2039,"G75S",13563.5937209302
"301",17011,2011,"G",0
"302",17011,2011,"G25S",3303.14046511628
"303",17011,2011,"G50S",6605.54790697674
"304",17011,2011,"G75S",9908.68837209302
"305",17011,2013,"G",0
"306",17011,2013,"G25S",3042.0911627907
"307",17011,2013,"G50S",6087.94418604651
"308",17011,2013,"G75S",9133.10139534884
"309",17011,2015,"G",0
"310",17011,2015,"G25S",3762.79069767442
"311",17011,2015,"G50S",7523.25581395349
"312",17011,2015,"G75S",11286.0465116279
"313",17011,2017,"G",0
"314",17011,2017,"G25S",2485.77488372093
"315",17011,2017,"G50S",4975.38604651163
"316",17011,2017,"G75S",7465.69302325582
"317",17011,2019,"G",0
"318",17011,2019,"G25S",2829.03441860465
"319",17011,2019,"G50S",5662.60093023256
"320",17011,2019,"G75S",8499.15162790698
"321",17011,2021,"G",0
"322",17011,2021,"G25S",2613.13860465116
"323",17011,2021,"G50S",5223.25581395349
"324",17011,2021,"G75S",7835.61674418605
"325",17011,2023,"G",0
"326",17011,2023,"G25S",3616.20465116279
"327",17011,2023,"G50S",7231.55720930233
"328",17011,2023,"G75S",10843.6576744186
"329",17011,2025,"G",0
"330",17011,2025,"G25S",3678.44837209302
"331",17011,2025,"G50S",7356.85953488372
"332",17011,2025,"G75S",11040.6176744186
"333",17011,2027,"G",0
"334",17011,2027,"G25S",3488.60279069767
"335",17011,2027,"G50S",6979.5311627907
"336",17011,2027,"G75S",10471.1553488372
"337",17011,2029,"G",0
"338",17011,2029,"G25S",2842.0911627907
"339",17011,2029,"G50S",5683.44186046512
"340",17011,2029,"G75S",8528.55441860465
"341",17011,2031,"G",0
"342",17011,2031,"G25S",3791.70604651163
"343",17011,2031,"G50S",7587.16651162791
"344",17011,2031,"G75S",11383.4046511628
"345",17011,2033,"G",0
"346",17011,2033,"G25S",4229.76744186047
"347",17011,2033,"G50S",8462.55627906977
"348",17011,2033,"G75S",12698.3665116279
"349",17011,2035,"G",0
"350",17011,2035,"G25S",2787.83627906977
"351",17011,2035,"G50S",5585.55162790698
"352",17011,2035,"G75S",8393.80465116279
"353",17011,2037,"G",0
"354",17011,2037,"G25S",4011.12558139535
"355",17011,2037,"G50S",8025.96837209302
"356",17011,2037,"G75S",12040.1153488372
"357",17011,2039,"G",0
"358",17011,2039,"G25S",4606.28093023256
"359",17011,2039,"G50S",9209.42139534883
"360",17011,2039,"G75S",13808.5320930233
"361",17013,2011,"G",0
"362",17013,2011,"G25S",2465.34906976744
"363",17013,2011,"G50S",4930.63627906977
"364",17013,2011,"G75S",7395.98534883721
"365",17013,2013,"G",0
"366",17013,2013,"G25S",2474.29488372093
"367",17013,2013,"G50S",4948.65162790698
"368",17013,2013,"G75S",7425.11581395349
"369",17013,2015,"G",0
"370",17013,2015,"G25S",2802.32558139535
"371",17013,2015,"G50S",5602.49651162791
"372",17013,2015,"G75S",8402.66744186047
"373",17013,2017,"G",0
"374",17013,2017,"G25S",2657.48837209302
"375",17013,2017,"G50S",5315.27139534884
"376",17013,2017,"G75S",7973.06906976744
"377",17013,2019,"G",0
"378",17013,2019,"G25S",2518.37186046512
"379",17013,2019,"G50S",5039.06930232558
"380",17013,2019,"G75S",7557.50302325581
"381",17013,2021,"G",0
"382",17013,2021,"G25S",2651.16279069767
"383",17013,2021,"G50S",5302.32558139535
"384",17013,2021,"G75S",7951.27186046511
"385",17013,2023,"G",0
"386",17013,2023,"G25S",3225.16302325581
"387",17013,2023,"G50S",6448.46604651163
"388",17013,2023,"G75S",9672.12558139535
"389",17013,2025,"G",0
"390",17013,2025,"G25S",3048.82255813953
"391",17013,2025,"G50S",6097.65976744186
"392",17013,2025,"G75S",9142.20232558139
"393",17013,2027,"G",0
"394",17013,2027,"G25S",2697.67441860465
"395",17013,2027,"G50S",5393.02325581395
"396",17013,2027,"G75S",8090.63581395349
"397",17013,2029,"G",0
"398",17013,2029,"G25S",2902.32558139535
"399",17013,2029,"G50S",5804.58930232558
"400",17013,2029,"G75S",8709.0076744186
"401",17013,2031,"G",0
"402",17013,2031,"G25S",3164.74511627907
"403",17013,2031,"G50S",6329.67581395349
"404",17013,2031,"G75S",9492.71395348837
"405",17013,2033,"G",0
"406",17013,2033,"G25S",3861.11720930233
"407",17013,2033,"G50S",7720.91651162791
"408",17013,2033,"G75S",11581.2106976744
"409",17013,2035,"G",0
"410",17013,2035,"G25S",3186.8988372093
"411",17013,2035,"G50S",6372.07604651163
"412",17013,2035,"G75S",9559.93534883721
"413",17013,2037,"G",0
"414",17013,2037,"G25S",3419.55139534884
"415",17013,2037,"G50S",6839.63023255814
"416",17013,2037,"G75S",10260.2186046512
"417",17013,2039,"G",0
"418",17013,2039,"G25S",3976.97465116279
"419",17013,2039,"G50S",7952.26023255814
"420",17013,2039,"G75S",11923.716744186
"421",17015,2011,"G",0
"422",17015,2011,"G25S",3724.98
"423",17015,2011,"G50S",7449.09790697674
"424",17015,2011,"G75S",11175.5413953488
"425",17015,2013,"G",0
"426",17015,2013,"G25S",3099.39860465116
"427",17015,2013,"G50S",6199.65930232558
"428",17015,2013,"G75S",9301.38348837209
"429",17015,2015,"G",0
"430",17015,2015,"G25S",4065.11627906977
"431",17015,2015,"G50S",8130.23255813954
"432",17015,2015,"G75S",12195.3488372093
"433",17015,2017,"G",0
"434",17015,2017,"G25S",3084.2423255814
"435",17015,2017,"G50S",6171.41162790698
"436",17015,2017,"G75S",9258.58093023256
"437",17015,2019,"G",0
"438",17015,2019,"G25S",3652.54627906977
"439",17015,2019,"G50S",7308.01953488372
"440",17015,2019,"G75S",10969.346744186
"441",17015,2021,"G",0
"442",17015,2021,"G25S",3083.72093023256
"443",17015,2021,"G50S",6165.11627906977
"444",17015,2021,"G75S",9247.37372093023
"445",17015,2023,"G",0
"446",17015,2023,"G25S",3715.7576744186
"447",17015,2023,"G50S",7424.53860465116
"448",17015,2023,"G75S",11129.2697674419
"449",17015,2025,"G",0
"450",17015,2025,"G25S",3790.95837209302
"451",17015,2025,"G50S",7580.19255813953
"452",17015,2025,"G75S",11370.2888372093
"453",17015,2027,"G",0
"454",17015,2027,"G25S",3959.00162790698
"455",17015,2027,"G50S",7918.00325581395
"456",17015,2027,"G75S",11880.7939534884
"457",17015,2029,"G",0
"458",17015,2029,"G25S",3700
"459",17015,2029,"G50S",7400.60139534884
"460",17015,2029,"G75S",11099.7393023256
"461",17015,2031,"G",0
"462",17015,2031,"G25S",3931.17465116279
"463",17015,2031,"G50S",7857.09674418605
"464",17015,2031,"G75S",11783.0188372093
"465",17015,2033,"G",0
"466",17015,2033,"G25S",4522.91511627907
"467",17015,2033,"G50S",9045.83023255814
"468",17015,2033,"G75S",13576.0627906977
"469",17015,2035,"G",0
"470",17015,2035,"G25S",3469.86813953488
"471",17015,2035,"G50S",6946.45232558139
"472",17015,2035,"G75S",10436.4686046512
"473",17015,2037,"G",0
"474",17015,2037,"G25S",4432.21744186047
"475",17015,2037,"G50S",8869.68744186047
"476",17015,2037,"G75S",13307.1574418605
"477",17015,2039,"G",0
"478",17015,2039,"G25S",4936.60790697674
"479",17015,2039,"G50S",9866.84046511628
"480",17015,2039,"G75S",14791.5597674419
"481",17017,2011,"G",0
"482",17017,2011,"G25S",2937.13953488372
"483",17017,2011,"G50S",5874.50930232558
"484",17017,2011,"G75S",8811.6488372093
"485",17017,2013,"G",0
"486",17017,2013,"G25S",2700.8023255814
"487",17017,2013,"G50S",5403.93023255814
"488",17017,2013,"G75S",8104.73255813954
"489",17017,2015,"G",0
"490",17017,2015,"G25S",3336.84186046512
"491",17017,2015,"G50S",6671.87441860465
"492",17017,2015,"G75S",10004.5813953488
"493",17017,2017,"G",0
"494",17017,2017,"G25S",2574.44418604651
"495",17017,2017,"G50S",5149.17441860465
"496",17017,2017,"G75S",7727.23720930233
"497",17017,2019,"G",0
"498",17017,2019,"G25S",2701.11395348837
"499",17017,2019,"G50S",5404.26744186047
"500",17017,2019,"G75S",8111.03953488372
"501",17017,2021,"G",0
"502",17017,2021,"G25S",2696.1511627907
"503",17017,2021,"G50S",5392.3023255814
"504",17017,2021,"G75S",8084.5488372093
"505",17017,2023,"G",0
"506",17017,2023,"G25S",3448.02093023256
"507",17017,2023,"G50S",6886.22325581395
"508",17017,2023,"G75S",10312.5674418605
"509",17017,2025,"G",0
"510",17017,2025,"G25S",3611.09302325581
"511",17017,2025,"G50S",7218.5976744186
"512",17017,2025,"G75S",10819.411627907
"513",17017,2027,"G",0
"514",17017,2027,"G25S",2994.3976744186
"515",17017,2027,"G50S",5991.12093023256
"516",17017,2027,"G75S",8985.51860465116
"517",17017,2029,"G",0
"518",17017,2029,"G25S",2975.73720930233
"519",17017,2029,"G50S",5955.37906976744
"520",17017,2029,"G75S",8932.92558139535
"521",17017,2031,"G",0
"522",17017,2031,"G25S",3338.33488372093
"523",17017,2031,"G50S",6670.20930232558
"524",17017,2031,"G75S",9995.16279069767
"525",17017,2033,"G",0
"526",17017,2033,"G25S",4155.80930232558
"527",17017,2033,"G50S",8309.95813953488
"528",17017,2033,"G75S",12460.288372093
"529",17017,2035,"G",0
"530",17017,2035,"G25S",2760.19302325581
"531",17017,2035,"G50S",5522.94186046512
"532",17017,2035,"G75S",8289.02325581396
"533",17017,2037,"G",0
"534",17017,2037,"G25S",3650.18139534884
"535",17017,2037,"G50S",7300.13255813954
"536",17017,2037,"G75S",10953.6465116279
"537",17017,2039,"G",0
"538",17017,2039,"G25S",4572.45348837209
"539",17017,2039,"G50S",9127.6511627907
"540",17017,2039,"G75S",13653.1069767442
"541",17019,2011,"G",0
"542",17019,2011,"G25S",2979.06976744186
"543",17019,2011,"G50S",5958.13953488372
"544",17019,2011,"G75S",8937.20930232558
"545",17019,2013,"G",0
"546",17019,2013,"G25S",3239.19069767442
"547",17019,2013,"G50S",6479.18139534884
"548",17019,2013,"G75S",9718.54418604651
"549",17019,2015,"G",0
"550",17019,2015,"G25S",3327.90697674419
"551",17019,2015,"G50S",6657.20465116279
"552",17019,2015,"G75S",9985.28372093023
"553",17019,2017,"G",0
"554",17019,2017,"G25S",3013.01860465116
"555",17019,2017,"G50S",6025.40930232558
"556",17019,2017,"G75S",9038.42790697674
"557",17019,2019,"G",0
"558",17019,2019,"G25S",2942.90697674419
"559",17019,2019,"G50S",5888.9023255814
"560",17019,2019,"G75S",8832.74418604651
"561",17019,2021,"G",0
"562",17019,2021,"G25S",2528.5488372093
"563",17019,2021,"G50S",5058.37674418605
"564",17019,2021,"G75S",7588.72093023256
"565",17019,2023,"G",0
"566",17019,2023,"G25S",3441.86046511628
"567",17019,2023,"G50S",6881.39534883721
"568",17019,2023,"G75S",10321.8651162791
"569",17019,2025,"G",0
"570",17019,2025,"G25S",3388.42325581395
"571",17019,2025,"G50S",6776.90697674419
"572",17019,2025,"G75S",10167.3720930233
"573",17019,2027,"G",0
"574",17019,2027,"G25S",3492.2
"575",17019,2027,"G50S",6986.0976744186
"576",17019,2027,"G75S",10479.2325581395
"577",17019,2029,"G",0
"578",17019,2029,"G25S",3338.31627906977
"579",17019,2029,"G50S",6677.8511627907
"580",17019,2029,"G75S",10016.1674418605
"581",17019,2031,"G",0
"582",17019,2031,"G25S",3916.21860465116
"583",17019,2031,"G50S",7830.62790697674
"584",17019,2031,"G75S",11747.7813953488
"585",17019,2033,"G",0
"586",17019,2033,"G25S",4528.84186046512
"587",17019,2033,"G50S",9058.31162790698
"588",17019,2033,"G75S",13586.9813953488
"589",17019,2035,"G",0
"590",17019,2035,"G25S",3854.99069767442
"591",17019,2035,"G50S",7710.60930232558
"592",17019,2035,"G75S",11566.8186046512
"593",17019,2037,"G",0
"594",17019,2037,"G25S",3887.03255813954
"595",17019,2037,"G50S",7773.60930232558
"596",17019,2037,"G75S",11661.9209302326
"597",17019,2039,"G",0
"598",17019,2039,"G25S",4424.47441860465
"599",17019,2039,"G50S",8848.32093023256
"600",17019,2039,"G75S",13271.4046511628
"601",17021,2011,"G",0
"602",17021,2011,"G25S",2709.49906976744
"603",17021,2011,"G50S",5418.89976744186
"604",17021,2011,"G75S",8128.3988372093
"605",17021,2013,"G",0
"606",17021,2013,"G25S",3053.39
"607",17021,2013,"G50S",6106.97674418605
"608",17021,2013,"G75S",9158.23790697674
"609",17021,2015,"G",0
"610",17021,2015,"G25S",3146.61
"611",17021,2015,"G50S",6295.44720930233
"612",17021,2015,"G75S",9441.9588372093
"613",17021,2017,"G",0
"614",17021,2017,"G25S",2850.76930232558
"615",17021,2017,"G50S",5699.40976744186
"616",17021,2017,"G75S",8550.27744186046
"617",17021,2019,"G",0
"618",17021,2019,"G25S",2701.93209302326
"619",17021,2019,"G50S",5406.18976744186
"620",17021,2019,"G75S",8108.22023255814
"621",17021,2021,"G",0
"622",17021,2021,"G25S",2897.18255813953
"623",17021,2021,"G50S",5796.69069767442
"624",17021,2021,"G75S",8694.07
"625",17021,2023,"G",0
"626",17021,2023,"G25S",3353.39
"627",17021,2023,"G50S",6706.78
"628",17021,2023,"G75S",10055.7155813953
"629",17021,2025,"G",0
"630",17021,2025,"G25S",3336.71744186046
"631",17021,2025,"G50S",6673.63162790698
"632",17021,2025,"G75S",10010.4474418605
"633",17021,2027,"G",0
"634",17021,2027,"G25S",3157.54930232558
"635",17021,2027,"G50S",6312.77302325581
"636",17021,2027,"G75S",9470.3223255814
"637",17021,2029,"G",0
"638",17021,2029,"G25S",2897.08418604651
"639",17021,2029,"G50S",5794.36511627907
"640",17021,2029,"G75S",8689.32046511628
"641",17021,2031,"G",0
"642",17021,2031,"G25S",3241.46697674419
"643",17021,2031,"G50S",6482.83558139535
"644",17021,2031,"G75S",9722.07534883721
"645",17021,2033,"G",0
"646",17021,2033,"G25S",4320.34
"647",17021,2033,"G50S",8638.5511627907
"648",17021,2033,"G75S",12947.558372093
"649",17021,2035,"G",0
"650",17021,2035,"G25S",3536.4223255814
"651",17021,2035,"G50S",7075.17023255814
"652",17021,2035,"G75S",10611.9860465116
"653",17021,2037,"G",0
"654",17021,2037,"G25S",3852.70139534884
"655",17021,2037,"G50S",7707.72837209302
"656",17021,2037,"G75S",11558.3009302326
"657",17021,2039,"G",0
"658",17021,2039,"G25S",4276.74418604651
"659",17021,2039,"G50S",8546.80674418605
"660",17021,2039,"G75S",12807.7637209302
"661",17023,2011,"G",0
"662",17023,2011,"G25S",2567.44186046512
"663",17023,2011,"G50S",5136.76627906977
"664",17023,2011,"G75S",7704.20813953488
"665",17023,2013,"G",0
"666",17023,2013,"G25S",3054.92790697674
"667",17023,2013,"G50S",6109.95953488372
"668",17023,2013,"G75S",9166.87372093023
"669",17023,2015,"G",0
"670",17023,2015,"G25S",2825.01325581395
"671",17023,2015,"G50S",5649.26558139535
"672",17023,2015,"G75S",8475.50418604651
"673",17023,2017,"G",0
"674",17023,2017,"G25S",2631.65069767442
"675",17023,2017,"G50S",5263.74441860465
"676",17023,2017,"G75S",7893.51255813954
"677",17023,2019,"G",0
"678",17023,2019,"G25S",2867.65604651163
"679",17023,2019,"G50S",5736.6411627907
"680",17023,2019,"G75S",8604.4223255814
"681",17023,2021,"G",0
"682",17023,2021,"G25S",2753.80627906977
"683",17023,2021,"G50S",5507.16953488372
"684",17023,2021,"G75S",8261.4188372093
"685",17023,2023,"G",0
"686",17023,2023,"G25S",3369.86325581395
"687",17023,2023,"G50S",6726.12697674419
"688",17023,2023,"G75S",10057.2060465116
"689",17023,2025,"G",0
"690",17023,2025,"G25S",3233.62906976744
"691",17023,2025,"G50S",6464.08255813954
"692",17023,2025,"G75S",9692.12139534884
"693",17023,2027,"G",0
"694",17023,2027,"G25S",2620.35534883721
"695",17023,2027,"G50S",5239.82465116279
"696",17023,2027,"G75S",7860.29046511628
"697",17023,2029,"G",0
"698",17023,2029,"G25S",2944.18604651163
"699",17023,2029,"G50S",5889.57604651163
