"","fips","simyear","stover_removal","N2O_gN_m2"
"213",17003,2034,"G",0.2
"214",17003,2034,"G25S",0.2
"215",17003,2034,"G50S",0.2
"216",17003,2034,"G75S",0.2
"217",17003,2035,"G",0.48124
"218",17003,2035,"G25S",0.43619
"219",17003,2035,"G50S",0.4
"220",17003,2035,"G75S",0.4
"221",17003,2036,"G",0.2
"222",17003,2036,"G25S",0.2
"223",17003,2036,"G50S",0.2
"224",17003,2036,"G75S",0.2
"225",17003,2037,"G",0.4
"226",17003,2037,"G25S",0.4
"227",17003,2037,"G50S",0.4
"228",17003,2037,"G75S",0.4
"229",17003,2038,"G",0.3
"230",17003,2038,"G25S",0.28124
"231",17003,2038,"G50S",0.23619
"232",17003,2038,"G75S",0.23619
"233",17003,2039,"G",0.48124
"234",17003,2039,"G25S",0.43619
"235",17003,2039,"G50S",0.43619
"236",17003,2039,"G75S",0.4
"237",17003,2040,"G",0.28124
"238",17003,2040,"G25S",0.23619
"239",17003,2040,"G50S",0.23619
"240",17003,2040,"G75S",0.2
"241",17005,2011,"G",0.3
"242",17005,2011,"G25S",0.3
"243",17005,2011,"G50S",0.3
"244",17005,2011,"G75S",0.3
"245",17005,2012,"G",0.2
"246",17005,2012,"G25S",0.2
"247",17005,2012,"G50S",0.2
"248",17005,2012,"G75S",0.2
"249",17005,2013,"G",0.3
"250",17005,2013,"G25S",0.3
"251",17005,2013,"G50S",0.3
"252",17005,2013,"G75S",0.3
"253",17005,2014,"G",0.2
"254",17005,2014,"G25S",0.2
"255",17005,2014,"G50S",0.2
"256",17005,2014,"G75S",0.2
"257",17005,2015,"G",0.3
"258",17005,2015,"G25S",0.3
"259",17005,2015,"G50S",0.3
"260",17005,2015,"G75S",0.3
"261",17005,2016,"G",0.1
"262",17005,2016,"G25S",0.1
"263",17005,2016,"G50S",0.1
"264",17005,2016,"G75S",0.1
"265",17005,2017,"G",0.3
"266",17005,2017,"G25S",0.3
"267",17005,2017,"G50S",0.3
"268",17005,2017,"G75S",0.3
"269",17005,2018,"G",0.1118
"270",17005,2018,"G25S",0.1118
"271",17005,2018,"G50S",0.1118
"272",17005,2018,"G75S",0.1118
"273",17005,2019,"G",0.3
"274",17005,2019,"G25S",0.3
"275",17005,2019,"G50S",0.3
"276",17005,2019,"G75S",0.3
"277",17005,2020,"G",0.2
"278",17005,2020,"G25S",0.2
"279",17005,2020,"G50S",0.2
"280",17005,2020,"G75S",0.1118
"281",17005,2021,"G",0.3
"282",17005,2021,"G25S",0.3
"283",17005,2021,"G50S",0.3
"284",17005,2021,"G75S",0.3
"285",17005,2022,"G",0.1
"286",17005,2022,"G25S",0.1
"287",17005,2022,"G50S",0.1
"288",17005,2022,"G75S",0.1
"289",17005,2023,"G",0.4
"290",17005,2023,"G25S",0.4
"291",17005,2023,"G50S",0.4
"292",17005,2023,"G75S",0.4
"293",17005,2024,"G",0.2
"294",17005,2024,"G25S",0.2
"295",17005,2024,"G50S",0.1118
"296",17005,2024,"G75S",0.1118
"297",17005,2025,"G",0.3
"298",17005,2025,"G25S",0.3
"299",17005,2025,"G50S",0.3
"300",17005,2025,"G75S",0.3
"301",17005,2026,"G",0.2
"302",17005,2026,"G25S",0.2
"303",17005,2026,"G50S",0.2
"304",17005,2026,"G75S",0.2
"305",17005,2027,"G",0.4
"306",17005,2027,"G25S",0.4
"307",17005,2027,"G50S",0.3118
"308",17005,2027,"G75S",0.3
"309",17005,2028,"G",0.2
"310",17005,2028,"G25S",0.2
"311",17005,2028,"G50S",0.1118
"312",17005,2028,"G75S",0.1118
"313",17005,2029,"G",0.3
"314",17005,2029,"G25S",0.3
"315",17005,2029,"G50S",0.3
"316",17005,2029,"G75S",0.3
"317",17005,2030,"G",0.2
"318",17005,2030,"G25S",0.2
"319",17005,2030,"G50S",0.1118
"320",17005,2030,"G75S",0.1118
"321",17005,2031,"G",0.3
"322",17005,2031,"G25S",0.3
"323",17005,2031,"G50S",0.3
"324",17005,2031,"G75S",0.3
"325",17005,2032,"G",0.1
"326",17005,2032,"G25S",0.1
"327",17005,2032,"G50S",0.1
"328",17005,2032,"G75S",0.1
"329",17005,2033,"G",0.3
"330",17005,2033,"G25S",0.3
"331",17005,2033,"G50S",0.3
"332",17005,2033,"G75S",0.3
"333",17005,2034,"G",0.2
"334",17005,2034,"G25S",0.2
"335",17005,2034,"G50S",0.1118
"336",17005,2034,"G75S",0.1118
"337",17005,2035,"G",0.3
"338",17005,2035,"G25S",0.3
"339",17005,2035,"G50S",0.3
"340",17005,2035,"G75S",0.3
"341",17005,2036,"G",0.2
"342",17005,2036,"G25S",0.2
"343",17005,2036,"G50S",0.1118
"344",17005,2036,"G75S",0.1118
"345",17005,2037,"G",0.4118
"346",17005,2037,"G25S",0.4118
"347",17005,2037,"G50S",0.4
"348",17005,2037,"G75S",0.4
"349",17005,2038,"G",0.2
"350",17005,2038,"G25S",0.2
"351",17005,2038,"G50S",0.2
"352",17005,2038,"G75S",0.2
"353",17005,2039,"G",0.3882
"354",17005,2039,"G25S",0.3
"355",17005,2039,"G50S",0.3
"356",17005,2039,"G75S",0.3
"357",17005,2040,"G",0.2
"358",17005,2040,"G25S",0.2
"359",17005,2040,"G50S",0.2
"360",17005,2040,"G75S",0.1118
"361",17007,2011,"G",0.49995
"362",17007,2011,"G25S",0.49995
"363",17007,2011,"G50S",0.49995
"364",17007,2011,"G75S",0.49995
"365",17007,2012,"G",0.29997
"366",17007,2012,"G25S",0.29997
"367",17007,2012,"G50S",0.29997
"368",17007,2012,"G75S",0.24854
"369",17007,2013,"G",0.39996
"370",17007,2013,"G25S",0.39996
"371",17007,2013,"G50S",0.39996
"372",17007,2013,"G75S",0.39996
"373",17007,2014,"G",0.19998
"374",17007,2014,"G25S",0.21797
"375",17007,2014,"G50S",0.21797
"376",17007,2014,"G75S",0.21797
"377",17007,2015,"G",0.38197
"378",17007,2015,"G25S",0.38197
"379",17007,2015,"G50S",0.38197
"380",17007,2015,"G75S",0.39996
"381",17007,2016,"G",0.29997
"382",17007,2016,"G25S",0.24854
"383",17007,2016,"G50S",0.24854
"384",17007,2016,"G75S",0.24854
"385",17007,2017,"G",0.41795
"386",17007,2017,"G25S",0.41795
"387",17007,2017,"G50S",0.39996
"388",17007,2017,"G75S",0.39996
"389",17007,2018,"G",0.21797
"390",17007,2018,"G25S",0.19998
"391",17007,2018,"G50S",0.19998
"392",17007,2018,"G75S",0.19998
"393",17007,2019,"G",0.3514
"394",17007,2019,"G25S",0.3514
"395",17007,2019,"G50S",0.3514
"396",17007,2019,"G75S",0.29997
"397",17007,2020,"G",0.29997
"398",17007,2020,"G25S",0.31796
"399",17007,2020,"G50S",0.29997
"400",17007,2020,"G75S",0.29997
"401",17007,2021,"G",0.39996
"402",17007,2021,"G25S",0.39996
"403",17007,2021,"G50S",0.39996
"404",17007,2021,"G75S",0.39996
"405",17007,2022,"G",0.29997
"406",17007,2022,"G25S",0.29997
"407",17007,2022,"G50S",0.29997
"408",17007,2022,"G75S",0.29997
"409",17007,2023,"G",0.49995
"410",17007,2023,"G25S",0.49995
"411",17007,2023,"G50S",0.49995
"412",17007,2023,"G75S",0.49995
"413",17007,2024,"G",0.29997
"414",17007,2024,"G25S",0.24854
"415",17007,2024,"G50S",0.24854
"416",17007,2024,"G75S",0.24854
"417",17007,2025,"G",0.49995
"418",17007,2025,"G25S",0.49995
"419",17007,2025,"G50S",0.54851
"420",17007,2025,"G75S",0.54851
"421",17007,2026,"G",0.24854
"422",17007,2026,"G25S",0.21797
"423",17007,2026,"G50S",0.21797
"424",17007,2026,"G75S",0.21797
"425",17007,2027,"G",0.39996
"426",17007,2027,"G25S",0.39996
"427",17007,2027,"G50S",0.38197
"428",17007,2027,"G75S",0.38197
"429",17007,2028,"G",0.29997
"430",17007,2028,"G25S",0.29997
"431",17007,2028,"G50S",0.24854
"432",17007,2028,"G75S",0.24854
"433",17007,2029,"G",0.49995
"434",17007,2029,"G25S",0.49995
"435",17007,2029,"G50S",0.39996
"436",17007,2029,"G75S",0.39996
"437",17007,2030,"G",0.31796
"438",17007,2030,"G25S",0.31796
"439",17007,2030,"G50S",0.31796
"440",17007,2030,"G75S",0.31796
"441",17007,2031,"G",0.39996
"442",17007,2031,"G25S",0.39996
"443",17007,2031,"G50S",0.39996
"444",17007,2031,"G75S",0.39996
"445",17007,2032,"G",0.19998
"446",17007,2032,"G25S",0.19998
"447",17007,2032,"G50S",0.19998
"448",17007,2032,"G75S",0.19998
"449",17007,2033,"G",0.45139
"450",17007,2033,"G25S",0.39996
"451",17007,2033,"G50S",0.39996
"452",17007,2033,"G75S",0.39996
"453",17007,2034,"G",0.34853
"454",17007,2034,"G25S",0.34853
"455",17007,2034,"G50S",0.31796
"456",17007,2034,"G75S",0.31796
"457",17007,2035,"G",0.39996
"458",17007,2035,"G25S",0.39996
"459",17007,2035,"G50S",0.39996
"460",17007,2035,"G75S",0.39996
"461",17007,2036,"G",0.31796
"462",17007,2036,"G25S",0.31796
"463",17007,2036,"G50S",0.31796
"464",17007,2036,"G75S",0.29997
"465",17007,2037,"G",0.45139
"466",17007,2037,"G25S",0.45139
"467",17007,2037,"G50S",0.39996
"468",17007,2037,"G75S",0.39996
"469",17007,2038,"G",0.36652
"470",17007,2038,"G25S",0.36652
"471",17007,2038,"G50S",0.31796
"472",17007,2038,"G75S",0.31796
"473",17007,2039,"G",0.41795
"474",17007,2039,"G25S",0.39996
"475",17007,2039,"G50S",0.39996
"476",17007,2039,"G75S",0.39996
"477",17007,2040,"G",0.29997
"478",17007,2040,"G25S",0.29997
"479",17007,2040,"G50S",0.24854
"480",17007,2040,"G75S",0.24854
"481",17009,2011,"G",0.38559
"482",17009,2011,"G25S",0.38559
"483",17009,2011,"G50S",0.38559
"484",17009,2011,"G75S",0.38559
"485",17009,2012,"G",0.19998
"486",17009,2012,"G25S",0.19998
"487",17009,2012,"G50S",0.19998
"488",17009,2012,"G75S",0.19998
"489",17009,2013,"G",0.39996
"490",17009,2013,"G25S",0.39996
"491",17009,2013,"G50S",0.39996
"492",17009,2013,"G75S",0.39996
"493",17009,2014,"G",0.20199
"494",17009,2014,"G25S",0.29997
"495",17009,2014,"G50S",0.29997
"496",17009,2014,"G75S",0.29997
"497",17009,2015,"G",0.39996
"498",17009,2015,"G25S",0.39996
"499",17009,2015,"G50S",0.39996
"500",17009,2015,"G75S",0.39996
"501",17009,2016,"G",0.20199
"502",17009,2016,"G25S",0.19998
"503",17009,2016,"G50S",0.19998
"504",17009,2016,"G75S",0.19998
"505",17009,2017,"G",0.39996
"506",17009,2017,"G25S",0.39996
"507",17009,2017,"G50S",0.39996
"508",17009,2017,"G75S",0.38559
"509",17009,2018,"G",0.20199
"510",17009,2018,"G25S",0.20199
"511",17009,2018,"G50S",0.20199
"512",17009,2018,"G75S",0.20199
"513",17009,2019,"G",0.39996
"514",17009,2019,"G25S",0.39996
"515",17009,2019,"G50S",0.39996
"516",17009,2019,"G75S",0.39996
"517",17009,2020,"G",0.21435
"518",17009,2020,"G25S",0.20199
"519",17009,2020,"G50S",0.19998
"520",17009,2020,"G75S",0.19998
"521",17009,2021,"G",0.48558
"522",17009,2021,"G25S",0.39996
"523",17009,2021,"G50S",0.39996
"524",17009,2021,"G75S",0.39996
"525",17009,2022,"G",0.19998
"526",17009,2022,"G25S",0.19998
"527",17009,2022,"G50S",0.19998
"528",17009,2022,"G75S",0.19998
"529",17009,2023,"G",0.39996
"530",17009,2023,"G25S",0.39996
"531",17009,2023,"G50S",0.39996
"532",17009,2023,"G75S",0.39996
"533",17009,2024,"G",0.21435
"534",17009,2024,"G25S",0.21435
"535",17009,2024,"G50S",0.21435
"536",17009,2024,"G75S",0.20199
"537",17009,2025,"G",0.39996
"538",17009,2025,"G25S",0.39996
"539",17009,2025,"G50S",0.39996
"540",17009,2025,"G75S",0.39996
"541",17009,2026,"G",0.30198
"542",17009,2026,"G25S",0.30198
"543",17009,2026,"G50S",0.29997
"544",17009,2026,"G75S",0.29997
"545",17009,2027,"G",0.39996
"546",17009,2027,"G25S",0.39996
"547",17009,2027,"G50S",0.39996
"548",17009,2027,"G75S",0.39996
"549",17009,2028,"G",0.21435
"550",17009,2028,"G25S",0.20199
"551",17009,2028,"G50S",0.20199
"552",17009,2028,"G75S",0.19998
"553",17009,2029,"G",0.39996
"554",17009,2029,"G25S",0.39996
"555",17009,2029,"G50S",0.39795
"556",17009,2029,"G75S",0.38559
"557",17009,2030,"G",0.19998
"558",17009,2030,"G25S",0.19998
"559",17009,2030,"G50S",0.19998
"560",17009,2030,"G75S",0.19998
"561",17009,2031,"G",0.49995
"562",17009,2031,"G25S",0.49995
"563",17009,2031,"G50S",0.49995
"564",17009,2031,"G75S",0.39996
"565",17009,2032,"G",0.20199
"566",17009,2032,"G25S",0.20199
"567",17009,2032,"G50S",0.19998
"568",17009,2032,"G75S",0.19998
"569",17009,2033,"G",0.49995
"570",17009,2033,"G25S",0.48558
"571",17009,2033,"G50S",0.39996
"572",17009,2033,"G75S",0.39996
"573",17009,2034,"G",0.29997
"574",17009,2034,"G25S",0.21435
"575",17009,2034,"G50S",0.20199
"576",17009,2034,"G75S",0.20199
"577",17009,2035,"G",0.39996
"578",17009,2035,"G25S",0.39996
"579",17009,2035,"G50S",0.39996
"580",17009,2035,"G75S",0.39996
"581",17009,2036,"G",0.20199
"582",17009,2036,"G25S",0.20199
"583",17009,2036,"G50S",0.19998
"584",17009,2036,"G75S",0.19998
"585",17009,2037,"G",0.59994
"586",17009,2037,"G25S",0.59994
"587",17009,2037,"G50S",0.49995
"588",17009,2037,"G75S",0.49995
"589",17009,2038,"G",0.41634
"590",17009,2038,"G25S",0.41634
"591",17009,2038,"G50S",0.40197
"592",17009,2038,"G75S",0.31635
"593",17009,2039,"G",0.49995
"594",17009,2039,"G25S",0.49995
"595",17009,2039,"G50S",0.49995
"596",17009,2039,"G75S",0.41433
"597",17009,2040,"G",0.31635
"598",17009,2040,"G25S",0.31434
"599",17009,2040,"G50S",0.31434
"600",17009,2040,"G75S",0.31434
"601",17011,2011,"G",0.5
"602",17011,2011,"G25S",0.5
"603",17011,2011,"G50S",0.5
"604",17011,2011,"G75S",0.5
"605",17011,2012,"G",0.3
"606",17011,2012,"G25S",0.3
"607",17011,2012,"G50S",0.3
"608",17011,2012,"G75S",0.3
"609",17011,2013,"G",0.4984
"610",17011,2013,"G25S",0.4984
"611",17011,2013,"G50S",0.5
"612",17011,2013,"G75S",0.5
"613",17011,2014,"G",0.26496
"614",17011,2014,"G25S",0.26496
"615",17011,2014,"G50S",0.26496
"616",17011,2014,"G75S",0.26496
"617",17011,2015,"G",0.33504
"618",17011,2015,"G25S",0.33504
"619",17011,2015,"G50S",0.33504
"620",17011,2015,"G75S",0.4
"621",17011,2016,"G",0.36496
"622",17011,2016,"G25S",0.36496
"623",17011,2016,"G50S",0.36496
"624",17011,2016,"G75S",0.36496
"625",17011,2017,"G",0.4
"626",17011,2017,"G25S",0.4
"627",17011,2017,"G50S",0.4
"628",17011,2017,"G75S",0.4
"629",17011,2018,"G",0.2984
"630",17011,2018,"G25S",0.2984
"631",17011,2018,"G50S",0.2984
"632",17011,2018,"G75S",0.26496
"633",17011,2019,"G",0.33504
"634",17011,2019,"G25S",0.33504
"635",17011,2019,"G50S",0.3016
"636",17011,2019,"G75S",0.3
"637",17011,2020,"G",0.3
"638",17011,2020,"G25S",0.3
"639",17011,2020,"G50S",0.2984
"640",17011,2020,"G75S",0.2984
"641",17011,2021,"G",0.4
"642",17011,2021,"G25S",0.4
"643",17011,2021,"G50S",0.4
"644",17011,2021,"G75S",0.4
"645",17011,2022,"G",0.2
"646",17011,2022,"G25S",0.2
"647",17011,2022,"G50S",0.2
"648",17011,2022,"G75S",0.2
"649",17011,2023,"G",0.5
"650",17011,2023,"G25S",0.5
"651",17011,2023,"G50S",0.5
"652",17011,2023,"G75S",0.5
"653",17011,2024,"G",0.2984
"654",17011,2024,"G25S",0.26496
"655",17011,2024,"G50S",0.26496
"656",17011,2024,"G75S",0.2
"657",17011,2025,"G",0.4
"658",17011,2025,"G25S",0.4
"659",17011,2025,"G50S",0.4
"660",17011,2025,"G75S",0.4
"661",17011,2026,"G",0.3
"662",17011,2026,"G25S",0.3
"663",17011,2026,"G50S",0.3
"664",17011,2026,"G75S",0.3
"665",17011,2027,"G",0.4
"666",17011,2027,"G25S",0.4
"667",17011,2027,"G50S",0.4
"668",17011,2027,"G75S",0.4
"669",17011,2028,"G",0.36496
"670",17011,2028,"G25S",0.36496
"671",17011,2028,"G50S",0.3
"672",17011,2028,"G75S",0.3
"673",17011,2029,"G",0.5
"674",17011,2029,"G25S",0.5
"675",17011,2029,"G50S",0.4016
"676",17011,2029,"G75S",0.4
"677",17011,2030,"G",0.46496
"678",17011,2030,"G25S",0.3984
"679",17011,2030,"G50S",0.36496
"680",17011,2030,"G75S",0.36496
"681",17011,2031,"G",0.5
"682",17011,2031,"G25S",0.5
"683",17011,2031,"G50S",0.5
"684",17011,2031,"G75S",0.43504
"685",17011,2032,"G",0.26496
"686",17011,2032,"G25S",0.26496
"687",17011,2032,"G50S",0.26496
"688",17011,2032,"G75S",0.2
"689",17011,2033,"G",0.5
"690",17011,2033,"G25S",0.4016
"691",17011,2033,"G50S",0.4
"692",17011,2033,"G75S",0.4
"693",17011,2034,"G",0.4
"694",17011,2034,"G25S",0.46496
"695",17011,2034,"G50S",0.46336
"696",17011,2034,"G75S",0.46336
"697",17011,2035,"G",0.4016
"698",17011,2035,"G25S",0.4
"699",17011,2035,"G50S",0.4
"700",17011,2035,"G75S",0.4
"701",17011,2036,"G",0.36496
"702",17011,2036,"G25S",0.3
"703",17011,2036,"G50S",0.3
"704",17011,2036,"G75S",0.3
"705",17011,2037,"G",0.5
"706",17011,2037,"G25S",0.5
"707",17011,2037,"G50S",0.5
"708",17011,2037,"G75S",0.4
"709",17011,2038,"G",0.66336
"710",17011,2038,"G25S",0.62832
"711",17011,2038,"G50S",0.56336
"712",17011,2038,"G75S",0.56336
"713",17011,2039,"G",0.56496
"714",17011,2039,"G25S",0.5
"715",17011,2039,"G50S",0.5
"716",17011,2039,"G75S",0.5
"717",17011,2040,"G",0.46496
"718",17011,2040,"G25S",0.46336
"719",17011,2040,"G50S",0.3984
"720",17011,2040,"G75S",0.36496
"721",17013,2011,"G",0.4
"722",17013,2011,"G25S",0.4
"723",17013,2011,"G50S",0.4
"724",17013,2011,"G75S",0.4
"725",17013,2012,"G",0.2
"726",17013,2012,"G25S",0.2
"727",17013,2012,"G50S",0.20735
"728",17013,2012,"G75S",0.20735
"729",17013,2013,"G",0.4
"730",17013,2013,"G25S",0.4
"731",17013,2013,"G50S",0.4
"732",17013,2013,"G75S",0.4
"733",17013,2014,"G",0.2
"734",17013,2014,"G25S",0.2
"735",17013,2014,"G50S",0.2
"736",17013,2014,"G75S",0.2
"737",17013,2015,"G",0.4
"738",17013,2015,"G25S",0.4
"739",17013,2015,"G50S",0.40469
"740",17013,2015,"G75S",0.40735
"741",17013,2016,"G",0.2
"742",17013,2016,"G25S",0.2
"743",17013,2016,"G50S",0.2
"744",17013,2016,"G75S",0.10735
"745",17013,2017,"G",0.4
"746",17013,2017,"G25S",0.4
"747",17013,2017,"G50S",0.4
"748",17013,2017,"G75S",0.4
"749",17013,2018,"G",0.2
"750",17013,2018,"G25S",0.2
"751",17013,2018,"G50S",0.2
"752",17013,2018,"G75S",0.2
"753",17013,2019,"G",0.4
"754",17013,2019,"G25S",0.4
"755",17013,2019,"G50S",0.4
"756",17013,2019,"G75S",0.4
"757",17013,2020,"G",0.2
"758",17013,2020,"G25S",0.2
"759",17013,2020,"G50S",0.2
"760",17013,2020,"G75S",0.2
"761",17013,2021,"G",0.4
"762",17013,2021,"G25S",0.4
"763",17013,2021,"G50S",0.4
"764",17013,2021,"G75S",0.4
"765",17013,2022,"G",0.10735
"766",17013,2022,"G25S",0.1
"767",17013,2022,"G50S",0.1
"768",17013,2022,"G75S",0.1
"769",17013,2023,"G",0.40266
"770",17013,2023,"G25S",0.40266
"771",17013,2023,"G50S",0.4
"772",17013,2023,"G75S",0.4
"773",17013,2024,"G",0.2
"774",17013,2024,"G25S",0.2
"775",17013,2024,"G50S",0.2
